id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2023-01-01;51691.2265625;34991.328125;67.69300079
N;NORTE;2023-01-01;15302.39648438;9439.17382813;61.68429947
SE;SUDESTE;2023-01-01;204615.328125;109622.71875;53.57500076
S;SUL;2023-01-01;20459.2421875;17249.421875;84.31109619
NE;NORDESTE;2023-01-02;51691.2265625;35361.76953125;68.4095993
N;NORTE;2023-01-02;15302.39648438;9626.93261719;62.91130066
SE;SUDESTE;2023-01-02;204615.328125;110620.890625;54.06290054
S;SUL;2023-01-02;20459.2421875;17263.74414063;84.3812027
NE;NORDESTE;2023-01-03;51691.2265625;35738.15625;69.13780212
N;NORTE;2023-01-03;15302.39648438;9785.04394531;63.94449997
SE;SUDESTE;2023-01-03;204615.328125;111637.390625;54.55960083
S;SUL;2023-01-03;20459.2421875;17261.24804688;84.3690033
NE;NORDESTE;2023-01-04;51691.2265625;36123.25390625;69.88279724
N;NORTE;2023-01-04;15302.39648438;9932.75097656;64.90979767
SE;SUDESTE;2023-01-04;204615.328125;112729.3046875;55.09329987
S;SUL;2023-01-04;20459.2421875;17328.91015625;84.6996994
NE;NORDESTE;2023-01-05;51691.2265625;36478.98046875;70.57089996
N;NORTE;2023-01-05;15302.39648438;10095.15429688;65.97109985
SE;SUDESTE;2023-01-05;204615.328125;113854.2421875;55.64310074
S;SUL;2023-01-05;20459.2421875;17417.55664063;85.13300323
NE;NORDESTE;2023-01-06;51691.2265625;36876.890625;71.34069824
N;NORTE;2023-01-06;15302.39648438;10295.08789063;67.27760315
SE;SUDESTE;2023-01-06;204615.328125;115576.765625;56.48490143
S;SUL;2023-01-06;20459.2421875;17431.28125;85.19999695
NE;NORDESTE;2023-01-07;51691.2265625;37298.16796875;72.15570068
N;NORTE;2023-01-07;15302.39648438;10534.08203125;68.83940125
SE;SUDESTE;2023-01-07;204615.328125;117415.71875;57.38359833
S;SUL;2023-01-07;20459.2421875;17469.265625;85.38569641
NE;NORDESTE;2023-01-08;51691.2265625;37752.1171875;73.0338974
N;NORTE;2023-01-08;15302.39648438;10775.54980469;70.41739655
SE;SUDESTE;2023-01-08;204615.328125;119507.5390625;58.40599823
S;SUL;2023-01-08;20459.2421875;17435.18164063;85.21910095
NE;NORDESTE;2023-01-09;51691.2265625;38076.2421875;73.6608963
N;NORTE;2023-01-09;15302.39648438;10980.921875;71.7594986
SE;SUDESTE;2023-01-09;204615.328125;121351.59375;59.30720139
S;SUL;2023-01-09;20459.2421875;17420.38867188;85.14679718
NE;NORDESTE;2023-01-10;51691.2265625;38282.62109375;74.06020355
N;NORTE;2023-01-10;15302.39648438;11217.91503906;73.30819702
SE;SUDESTE;2023-01-10;204615.328125;123191.5234375;60.20640182
S;SUL;2023-01-10;20459.2421875;17374.10351563;84.92060089
NE;NORDESTE;2023-01-11;51691.2265625;38410.43359375;74.30750275
N;NORTE;2023-01-11;15302.39648438;11407.9296875;74.55000305
SE;SUDESTE;2023-01-11;204615.328125;124785.953125;60.98559952
S;SUL;2023-01-11;20459.2421875;17332.06835938;84.71510315
NE;NORDESTE;2023-01-12;51691.2265625;38531.70703125;74.542099
N;NORTE;2023-01-12;15302.39648438;11593.19824219;75.76069641
SE;SUDESTE;2023-01-12;204615.328125;126471.109375;61.80920029
S;SUL;2023-01-12;20459.2421875;17291.82421875;84.5184021
NE;NORDESTE;2023-01-13;51691.2265625;38577.0859375;74.62989807
N;NORTE;2023-01-13;15302.39648438;11805.04785156;77.14510345
SE;SUDESTE;2023-01-13;204615.328125;128052.5703125;62.58209991
S;SUL;2023-01-13;20459.2421875;17289.09570313;84.50509644
NE;NORDESTE;2023-01-14;51691.2265625;38560.30078125;74.59739685
N;NORTE;2023-01-14;15302.39648438;12055.8984375;78.78440094
SE;SUDESTE;2023-01-14;204615.328125;129549.515625;63.31370163
S;SUL;2023-01-14;20459.2421875;17345.47265625;84.7806015
NE;NORDESTE;2023-01-15;51691.2265625;38556.84765625;74.59069824
