id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
SE;SUDESTE;2024-01-20;204615.328125;123974.875;60.58919907
S;SUL;2024-01-20;20459.2421875;16892.29882813;82.56559753
NE;NORDESTE;2024-01-21;51691.2265625;26829.57421875;51.9034996
N;NORTE;2024-01-21;15302.39648438;7246.89111328;47.35789871
SE;SUDESTE;2024-01-21;204615.328125;124156.8046875;60.67819977
S;SUL;2024-01-21;20459.2421875;16997.86132813;83.08159637
NE;NORDESTE;2024-01-22;51691.2265625;26968.58984375;52.17250061
N;NORTE;2024-01-22;15302.39648438;7288.6171875;47.63059998
SE;SUDESTE;2024-01-22;204615.328125;124093.90625;60.6473999
S;SUL;2024-01-22;20459.2421875;16981.8828125;83.00350189
NE;NORDESTE;2024-01-23;51691.2265625;27134.73632813;52.4939003
N;NORTE;2024-01-23;15302.39648438;7336.20214844;47.94150162
SE;SUDESTE;2024-01-23;204615.328125;124318.2109375;60.75699997
S;SUL;2024-01-23;20459.2421875;16955.39648438;82.87400055
NE;NORDESTE;2024-01-24;51691.2265625;27302.27929688;52.81800079
N;NORTE;2024-01-24;15302.39648438;7408.28417969;48.41260147
SE;SUDESTE;2024-01-24;204615.328125;124610.0625;60.89970016
S;SUL;2024-01-24;20459.2421875;16932.24804688;82.7609024
NE;NORDESTE;2024-01-25;51691.2265625;27471.61914063;53.14559937
N;NORTE;2024-01-25;15302.39648438;7493.65380859;48.97050095
SE;SUDESTE;2024-01-25;204615.328125;124737.2734375;60.96179962
S;SUL;2024-01-25;20459.2421875;16907.01367188;82.63749695
NE;NORDESTE;2024-01-26;51691.2265625;27719.6640625;53.62549973
N;NORTE;2024-01-26;15302.39648438;7603.89208984;49.6908989
SE;SUDESTE;2024-01-26;204615.328125;124982.9453125;61.08190155
S;SUL;2024-01-26;20459.2421875;16852.7421875;82.37229919
NE;NORDESTE;2024-01-27;51691.2265625;27956.77148438;54.08420181
N;NORTE;2024-01-27;15302.39648438;7682.83691406;50.20679855
SE;SUDESTE;2024-01-27;204615.328125;125302.8671875;61.23830032
S;SUL;2024-01-27;20459.2421875;16894.51367188;82.57640076
NE;NORDESTE;2024-01-28;51691.2265625;28187.09375;54.52970123
N;NORTE;2024-01-28;15302.39648438;7772.65087891;50.79370117
SE;SUDESTE;2024-01-28;204615.328125;125584.75;61.37599945
S;SUL;2024-01-28;20459.2421875;16965.46875;82.92320251
NE;NORDESTE;2024-01-29;51691.2265625;28314.59960938;54.77640152
N;NORTE;2024-01-29;15302.39648438;7861.02587891;51.37120056
SE;SUDESTE;2024-01-29;204615.328125;125448.296875;61.30929947
S;SUL;2024-01-29;20459.2421875;16955.4765625;82.87439728
NE;NORDESTE;2024-01-30;51691.2265625;28493.29296875;55.12210083
N;NORTE;2024-01-30;15302.39648438;7927.89208984;51.80820084
SE;SUDESTE;2024-01-30;204615.328125;125143.765625;61.16049957
S;SUL;2024-01-30;20459.2421875;16871.15429688;82.46230316
NE;NORDESTE;2024-01-31;51691.2265625;28670.64648438;55.46519852
N;NORTE;2024-01-31;15302.39648438;7973.27587891;52.10480118
SE;SUDESTE;2024-01-31;204615.328125;125013.3359375;61.09680176
S;SUL;2024-01-31;20459.2421875;16752.30273438;81.88130188
NE;NORDESTE;2024-02-01;51691.2265625;28863.56835938;55.83840179
N;NORTE;2024-02-01;15302.39648438;8067.11376953;52.7179985
SE;SUDESTE;2024-02-01;204615.328125;125071.6796875;61.12530136
S;SUL;2024-02-01;20459.2421875;16727.72070313;81.76119995
NE;NORDESTE;2024-02-02;51691.2265625;28955.33984375;56.01599884
N;NORTE;2024-02-02;15302.39648438;8236.39160156;53.82419968
SE;SUDESTE;2024-02-02;204615.328125;125275.9140625;61.22510147
S;SUL;2024-02-02;20459.2421875;16616.78515625;81.21900177
NE;NORDESTE;2024-02-03;51691.2265625;29036.39257813;56.17279816
N;NORTE;2024-02-03;15302.39648438;8429.54980469;55.08649826
SE;SUDESTE;2024-02-03;204615.328125;125518.9140625;61.34379959
S;SUL;2024-02-03;20459.2421875;16590.984375;81.09290314
NE;NORDESTE;2024-02-04;51691.2265625;29147.31445313;56.38740158
N;NORTE;2024-02-04;15302.39648438;8621.1171875;56.3382988
SE;SUDESTE;2024-02-04;204615.328125;125874.9765625;61.51789856
S;SUL;2024-02-04;20459.2421875;16598.20507813;81.12819672
NE;NORDESTE;2024-02-05;51691.2265625;29261.01171875;56.6072998
N;NORTE;2024-02-05;15302.39648438;8799.31054688;57.50279999
SE;SUDESTE;2024-02-05;204615.328125;125925.796875;61.54270172
S;SUL;2024-02-05;20459.2421875;16461.34765625;80.459198
NE;NORDESTE;2024-02-06;51691.2265625;29425.08203125;56.92470169
N;NORTE;2024-02-06;15302.39648438;8936.08007813;58.39659882
