id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2024-01-01 00:00:00;3503.61791992;486.47399902;2491.56298828;1.54999995;11976.884;-5493.679
N;NORTE;2024-01-01 00:00:00;3006.38500976;2469.68408203;2.19300007;0.0;6539.55999999;-1061.29799999
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 00:00:00;51266.264;8982.283;3205.27;11.213;63465.03;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 00:00:00;31710.36132812;5046.85498046;8.5;8.6630001;34981.614;1792.76599999
S;SUL;2024-01-01 00:00:00;13045.89941406;979.27001953;703.01397705;1.0;9966.972;4762.211
NE;NORDESTE;2024-01-01 01:00:00;4019.12792968;465.89199829;2287.79589843;1.54299998;12152.31599999;-5377.957
N;NORTE;2024-01-01 01:00:00;3015.07006835;2474.11889648;2.98499989;0.0;6614.83599999;-1122.66199999
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 01:00:00;51719.951;8884.708;3129.667;11.217;63745.54;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 01:00:00;31646.31445312;5040.31298828;8.0;8.67399978;34968.063;1735.23899999
S;SUL;2024-01-01 01:00:00;13039.43847656;904.38397216;830.88598632;1.0;10010.32799999;4765.38
NE;NORDESTE;2024-01-01 02:00:00;4110.14404296;466.15600585;2248.44995117;1.54499995;12259.744;-5433.44899999
N;NORTE;2024-01-01 02:00:00;3020.01489257;2476.12207031;28.70499992;0.0;6724.34299999;-1199.50099999
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 02:00:00;51509.709;8803.204;3073.781;11.238;63397.93;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 02:00:00;31354.1640625;5040.45605468;7.0;8.69299983;34671.58099999;1738.732
S;SUL;2024-01-01 02:00:00;13025.38574218;820.4699707;789.62597656;1.0;9742.26399999;4894.218
NE;NORDESTE;2024-01-01 03:00:00;4382.35693359;461.46099853;2017.16101074;1.53199994;12240.169;-5377.65799999
N;NORTE;2024-01-01 03:00:00;3029.68408203;2479.42700195;38.56900024;0.0;6757.857;-1210.17699999
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 03:00:00;50981.987;8683.642;2777.388;11.225;62454.24;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 03:00:00;30549.1953125;5047.96679687;7.0;8.69299983;34035.34399999;1577.51199999
S;SUL;2024-01-01 03:00:00;13020.75;694.7869873;714.65802001;1.0;9420.87199999;5010.323
NE;NORDESTE;2024-01-01 04:00:00;4132.58398437;457.67599487;2181.2849121;7.45300006;12091.749;-5312.751
N;NORTE;2024-01-01 04:00:00;3030.67602539;2476.09106445;4.67600011;0.0;6757.055;-1245.612
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 04:00:00;49896.023;8681.96;2932.294;17.118;61527.4;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 04:00:00;29713.65234375;5055.02001953;6.0;8.66499996;33420.27199999;1363.066
S;SUL;2024-01-01 04:00:00;13019.11035156;693.17297363;740.33300781;1.0;9258.319;5195.29699999
NE;NORDESTE;2024-01-01 05:00:00;3435.57202148;437.38400268;2325.43505859;176.8580017;11516.344;-5141.095
N;NORTE;2024-01-01 05:00:00;2880.61401367;2473.69311523;0.57899999;5.36100006;6711.10499999;-1350.85799999
SIN;SISTEMA INTERLIGADO NACIONAL;2024-01-01 05:00:00;47638.301;8654.947;3004.865;425.307;59723.42;0.0
SE;SUDESTE/CENTRO-OESTE;2024-01-01 05:00:00;29131.56054687;5051.50976562;6.0;136.59300231;32566.14699999;1759.51599999
S;SUL;2024-01-01 05:00:00;12190.5546875;692.35998535;672.85101318;106.49500274;8929.824;4732.437
