id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2023-01-01 00:00:00;3874.07299804;677.06298828;13305.26171875;1.93200004;10455.81799999;7402.512
N;NORTE;2023-01-01 00:00:00;7858.74414062;877.85498046;211.77200317;0.0;5990.553;2957.81799999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 00:00:00;39057.309;5698.335;14138.75;21.155;58904.08;11.47
SE;SUDESTE/CENTRO-OESTE;2023-01-01 00:00:00;24661.11132812;4071.57690429;6.0;18.22299957;32183.88499999;-3426.974
S;SUL;2023-01-01 00:00:00;2663.38110351;71.83999633;615.71600341;1.0;10273.82699999;-6921.88999999
NE;NORDESTE;2023-01-01 01:00:00;3374.27392578;678.4420166;12960.62695312;1.01300001;10481.70999999;6532.646
N;NORTE;2023-01-01 01:00:00;8261.91308593;880.13702392;218.95199584;0.0;5981.216;3379.786
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 01:00:00;39624.65;5727.55;13790.859;20.258;59163.32;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 01:00:00;24306.15234375;4099.46386718;5.0;18.24500083;32196.682;-3767.821
S;SUL;2023-01-01 01:00:00;3682.31103515;69.50700378;606.28002929;1.0;10503.70899999;-6144.611
NE;NORDESTE;2023-01-01 02:00:00;2631.37011718;678.74597167;12754.953125;0.93300002;10475.74;5590.262
N;NORTE;2023-01-01 02:00:00;8026.06689453;880.28900146;265.62600708;0.0;6031.892;3140.09
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 02:00:00;38960.541;5712.614;13612.565;20.17;58305.89;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 02:00:00;23864.60742187;4086.01196289;5.0;18.23699951;31539.57;-3565.714
S;SUL;2023-01-01 02:00:00;4438.49707031;67.56700134;586.98602294;1.0;10258.68799999;-5164.638
NE;NORDESTE;2023-01-01 03:00:00;2539.76000976;675.98602294;12524.64355468;0.365;10404.68199999;5336.073
N;NORTE;2023-01-01 03:00:00;7754.1171875;868.80603027;192.94299316;0.0;5994.131;2821.73499999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 03:00:00;38017.07;5700.563;13277.321;19.595;57014.55;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 03:00:00;23587.18945312;4087.11889648;5.0;18.22999954;30699.36699999;-3001.82799999
S;SUL;2023-01-01 03:00:00;4136.00292968;68.65200042;554.73400878;1.0;9916.36899999;-5155.97999999
NE;NORDESTE;2023-01-01 04:00:00;2526.22998046;682.58398437;12423.53515625;1.70500004;10274.92299999;5359.13099999
N;NORTE;2023-01-01 04:00:00;7327.69580078;876.23400878;46.20700073;0.0;5981.096;2269.04099999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 04:00:00;37292.166;5721.185;13009.715;20.951;56044.02;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 04:00:00;23627.33789062;4095.9230957;4.0;18.24600028;30126.19499999;-2380.68799999
S;SUL;2023-01-01 04:00:00;3810.9020996;66.44400024;535.97302246;1.0;9661.803;-5247.484
NE;NORDESTE;2023-01-01 05:00:00;2533.59594726;678.315979;11829.03515625;47.15200042;9500.54999999;5587.549
N;NORTE;2023-01-01 05:00:00;5985.09179687;877.49200439;10.92300033;0.0;5931.059;942.448
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 05:00:00;35101.353;5727.493;12311.2;79.84;53219.89;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 05:00:00;23360.734375;4103.76416015;4.0;31.68799972;28687.157;-1186.97
S;SUL;2023-01-01 05:00:00;3221.92993164;67.92099761;467.24200439;1.0;9101.11999999;-5343.027
NE;NORDESTE;2023-01-01 06:00:00;2428.10888671;679.36297607;10722.98242187;1211.94396972;8817.295;6225.103
N;NORTE;2023-01-01 06:00:00;5550.93115234;883.34100341;36.01499938;1.0;5655.369;815.918
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 06:00:00;31919.722;5708.401;11118.55;1677.303;50423.98;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 06:00:00;22021.74804687;4081.10205078;4.0;463.35900878;27327.244;-757.034
S;SUL;2023-01-01 06:00:00;1918.93298339;64.59500122;355.55300903;1.0;8624.06799999;-6283.987
NE;NORDESTE;2023-01-01 07:00:00;2419.2590332;673.9210205;11022.36816406;2776.45507812;8349.615;8542.38799999
N;NORTE;2023-01-01 07:00:00;3741.74902343;882.80798339;52.78200149;2.0;5472.501;-793.16199999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 07:00:00;27946.944;5704.644;11337.631;3678.662;48667.88;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 07:00:00;20323.98828125;4079.69189453;4.0;899.20697021;26590.855;-1283.967
S;SUL;2023-01-01 07:00:00;1461.94702148;68.22299957;258.48098754;1.0;8254.91;-6465.259
NE;NORDESTE;2023-01-01 08:00:00;2402.65795898;671.19000244;10799.63183593;2930.14599609;7977.379;8826.24699999
N;NORTE;2023-01-01 08:00:00;3006.46411132;882.78198242;117.96800231;2.0;5299.719;-1290.505
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 08:00:00;26147.67;5664.993;11117.896;4289.582;47220.14;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 08:00:00;19361.31445312;4042.5;5.0;1355.93603515;26260.21999999;-1495.47
S;SUL;2023-01-01 08:00:00;1377.23400878;68.52100372;195.29600524;1.5;7682.823;-6040.272
NE;NORDESTE;2023-01-01 09:00:00;2418.22290039;673.08197021;9756.03027343;2903.54907226;7660.49899999;8090.385
N;NORTE;2023-01-01 09:00:00;2927.54394531;887.12902832;239.03799438;3.0;5122.146;-1065.435
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 09:00:00;26038.462;5612.055;10206.064;4533.167;46389.75;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 09:00:00;19313.98828125;3982.13793945;5.0;1623.61804199;26281.324;-1356.58
S;SUL;2023-01-01 09:00:00;1378.70703125;69.70600128;205.99600219;3.0;7325.779;-5668.37
NE;NORDESTE;2023-01-01 10:00:00;2501.60498046;675.78601074;8790.08398437;2673.28295898;7540.359;7100.399
N;NORTE;2023-01-01 10:00:00;3066.57788085;882.44500732;274.86499023;3.0;5058.23799999;-831.35
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 10:00:00;27436.851;5598.127;9330.853;4327.268;46693.1;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 10:00:00;20461.27539062;3968.56591796;5.0;1647.98498535;26871.891;-789.064
S;SUL;2023-01-01 10:00:00;1407.39196777;71.33000183;260.90399169;3.0;7222.611;-5479.98499999
NE;NORDESTE;2023-01-01 11:00:00;2539.08007812;663.82000732;8530.04003906;2717.78808593;7618.159;6832.56899999
N;NORTE;2023-01-01 11:00:00;3068.89599609;873.75598144;268.78399658;3.0;5007.827;-793.39099999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 11:00:00;28298.183;5570.538;9238.294;4351.107;47458.12;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 11:00:00;21263.25585937;3960.04296875;5.0;1627.31896972;27637.95699999;-782.339
S;SUL;2023-01-01 11:00:00;1426.9510498;72.91899871;434.47000122;3.0;7194.179;-5256.839
NE;NORDESTE;2023-01-01 12:00:00;2583.21191406;666.49401855;7926.68310546;2943.93505859;7715.656;6404.668
N;NORTE;2023-01-01 12:00:00;2943.1430664;874.315979;346.98400878;3.0;4966.854;-799.411
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 12:00:00;28466.817;5583.536;8999.183;4691.327;47740.86;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 12:00:00;21512.11523437;3968.12597656;5.0;1741.39196777;27940.96399999;-714.33099999
S;SUL;2023-01-01 12:00:00;1428.34704589;74.59999847;720.51599121;3.0;7117.389;-4890.926
NE;NORDESTE;2023-01-01 13:00:00;2727.03393554;670.86297607;7879.39599609;2938.67895507;7818.786;6397.186
N;NORTE;2023-01-01 13:00:00;2928.30908203;877.05902099;380.24099731;3.0;5041.56399999;-852.955
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 13:00:00;28450.334;5562.567;9206.132;4581.216;47800.25;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 13:00:00;21417.1015625;3941.80493164;6.0;1636.5369873;27566.566;-565.12299999
S;SUL;2023-01-01 13:00:00;1377.89001464;72.83999633;940.49499511;3.0;7373.333;-4979.108
NE;NORDESTE;2023-01-01 14:00:00;3149.29199218;668.90997314;8060.6899414;2984.52294921;8209.00399999;6654.411
N;NORTE;2023-01-01 14:00:00;3181.28100585;881.20898437;358.12799072;2.0;5088.09599999;-665.47799999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 14:00:00;29631.222;5569.417;9470.11;4442.852;49113.6;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 14:00:00;21743.13867187;3945.28002929;6.0;1454.32897949;27981.53699999;-832.79
S;SUL;2023-01-01 14:00:00;1557.51098632;74.01799774;1045.29199218;2.0;7834.964;-5156.143
NE;NORDESTE;2023-01-01 15:00:00;3341.29101562;670.61602783;8250.609375;2809.5649414;8752.26399999;6319.817
N;NORTE;2023-01-01 15:00:00;4034.57592773;883.67700195;347.05499267;2.0;5228.013;39.295
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 15:00:00;31880.554;5571.618;9807.822;4171.033;51431.03;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 15:00:00;22796.08007812;3938.84204101;6.5;1358.46801757;28963.128;-863.238
S;SUL;2023-01-01 15:00:00;1708.60705566;78.4830017;1203.65795898;1.0;8487.62199999;-5495.874
NE;NORDESTE;2023-01-01 16:00:00;3806.48999023;664.64599609;7929.50390625;2166.0270996;9266.691;5299.97599999
N;NORTE;2023-01-01 16:00:00;5811.54101562;880.17602539;336.04598999;1.0;5347.975;1680.788
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 16:00:00;36348.912;5568.292;9628.229;3297.132;54842.57;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 16:00:00;24796.49023437;3946.37988281;7.0;1129.10498046;30836.365;-957.389
S;SUL;2023-01-01 16:00:00;1934.39001464;77.08999633;1355.67895507;1.0;9391.534;-6023.375
NE;NORDESTE;2023-01-01 17:00:00;4331.09912109;656.73797607;7635.70019531;662.99798583;9966.22899999;3320.306
N;NORTE;2023-01-01 17:00:00;8132.81689453;882.51098632;247.84599304;0.0;5540.66699999;3722.507
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 17:00:00;43048.609;5558.595;9303.003;1260.463;59170.67;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 17:00:00;27861.5703125;3942.59106445;7.0;596.46502685;33219.686;-812.059
S;SUL;2023-01-01 17:00:00;2723.12207031;76.75499725;1412.45703125;1.0;10444.088;-6230.754
NE;NORDESTE;2023-01-01 18:00:00;5130.07177734;667.02899169;7952.67382812;21.13800048;11356.03799999;2414.875
N;NORTE;2023-01-01 18:00:00;11124.70019531;887.51202392;63.26599884;0.0;6032.597;6042.88099999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 18:00:00;49766.205;5570.854;9432.133;105.734;64874.93;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 18:00:00;29697.3984375;3938.93798828;7.0;83.59600067;36098.15799999;-2371.22499999
S;SUL;2023-01-01 18:00:00;3814.03393554;77.375;1409.19299316;1.0;11388.13299999;-6086.531
NE;NORDESTE;2023-01-01 19:00:00;5387.61279296;663.93402099;9569.03613281;1.29200005;11701.77699999;3920.098
N;NORTE;2023-01-01 19:00:00;11750.640625;891.01202392;6.84700012;0.0;6323.396;6325.104
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 19:00:00;53112.432;5555.566;11089.769;21.376;69779.14;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 19:00:00;29951.10546875;3926.22802734;7.0;19.08399963;39335.642;-5432.22499999
S;SUL;2023-01-01 19:00:00;6023.07324218;74.39199829;1506.88598632;1.0;12418.32799999;-4812.977
NE;NORDESTE;2023-01-01 20:00:00;5244.60302734;661.20898437;10212.70507812;1.32899999;11711.846;4408.0
N;NORTE;2023-01-01 20:00:00;11390.91796875;888.15600585;86.32299804;0.0;6377.187;5988.21
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 20:00:00;53892.694;5546.75;11754.804;20.869;71215.12;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 20:00:00;29880.984375;3922.12011718;7.0;18.54000091;39796.14799999;-5967.503
S;SUL;2023-01-01 20:00:00;7376.18798828;75.26499938;1448.77600097;1.0;13329.936;-4428.707
NE;NORDESTE;2023-01-01 21:00:00;5189.65478515;675.89398193;10517.91113281;1.69000005;11837.52499999;4547.625
N;NORTE;2023-01-01 21:00:00;10956.39746093;891.40899658;246.6080017;0.0;6441.68699999;5652.727
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 21:00:00;53114.634;5573.865;12101.755;21.274;70811.53;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 21:00:00;29448.79492187;3932.04492187;7.0;18.58399963;39196.848;-5790.424
S;SUL;2023-01-01 21:00:00;7519.78710937;74.51699829;1330.23596191;1.0;13335.46799999;-4409.928
NE;NORDESTE;2023-01-01 22:00:00;5183.46777343;679.18200683;11193.47070312;1.34899997;11822.37599999;5235.094
N;NORTE;2023-01-01 22:00:00;9540.36035156;889.62597656;282.81298828;0.0;6475.30799999;4237.491
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 22:00:00;50947.922;5566.052;12782.439;20.92;69317.33;0.0
SE;SUDESTE/CENTRO-OESTE;2023-01-01 22:00:00;28793.04492187;3925.44091796;7.0;18.57099914;37927.261;-5183.20399999
S;SUL;2023-01-01 22:00:00;7431.04882812;71.8030014;1299.15502929;1.0;13092.388;-4289.381
NE;NORDESTE;2023-01-01 23:00:00;5069.14990234;680.02301025;11618.55566406;1.67400002;11645.28799999;5724.115
