id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2025-01-01;51691.226;25936.409;50.1757
N;NORTE;2025-01-01;15302.396;8257.997;53.9654
SE;SUDESTE;2025-01-01;204615.328;105698.119;51.657
S;SUL;2025-01-01;20459.242;16238.291;79.369
NE;NORDESTE;2025-01-02;51691.226;26172.624;50.6326
N;NORTE;2025-01-02;15302.396;8301.629;54.2505
SE;SUDESTE;2025-01-02;204615.328;106867.2;52.2283
S;SUL;2025-01-02;20459.242;16262.087;79.4853
NE;NORDESTE;2025-01-03;51691.226;26418.772;51.1088
N;NORTE;2025-01-03;15302.396;8332.097;54.4496
SE;SUDESTE;2025-01-03;204615.328;107884.525;52.7255
S;SUL;2025-01-03;20459.242;16256.337;79.4572
NE;NORDESTE;2025-01-04;51691.226;26690.28;51.6341
N;NORTE;2025-01-04;15302.396;8332.907;54.4549
SE;SUDESTE;2025-01-04;204615.328;108934.855;53.2389
S;SUL;2025-01-04;20459.242;16230.311;79.33
NE;NORDESTE;2025-01-05;51691.226;26961.741;52.1592
N;NORTE;2025-01-05;15302.396;8363.182;54.6528
SE;SUDESTE;2025-01-05;204615.328;109823.781;53.6733
S;SUL;2025-01-05;20459.242;16197.386;79.169
NE;NORDESTE;2025-01-06;51691.226;27212.318;52.644
N;NORTE;2025-01-06;15302.396;8400.001;54.8934
SE;SUDESTE;2025-01-06;204615.328;110439.698;53.9743
S;SUL;2025-01-06;20459.242;16049.524;78.4463
NE;NORDESTE;2025-01-07;51691.226;27531.698;53.2618
N;NORTE;2025-01-07;15302.396;8412.575;54.9755
SE;SUDESTE;2025-01-07;204615.328;111144.105;54.3186
S;SUL;2025-01-07;20459.242;15876.307;77.5997
NE;NORDESTE;2025-01-08;51691.226;27775.017;53.7326
N;NORTE;2025-01-08;15302.396;8407.792;54.9443
SE;SUDESTE;2025-01-08;204615.328;111799.013;54.6386
S;SUL;2025-01-08;20459.242;15705.948;76.767
NE;NORDESTE;2025-01-09;51691.226;28021.928;54.2102
N;NORTE;2025-01-09;15302.396;8407.476;54.9422
SE;SUDESTE;2025-01-09;204615.328;112680.065;55.0692
S;SUL;2025-01-09;20459.242;15548.228;75.9961
NE;NORDESTE;2025-01-10;51691.226;28274.429;54.6987
N;NORTE;2025-01-10;15302.396;8449.75;55.2185
SE;SUDESTE;2025-01-10;204615.328;113374.99;55.4088
S;SUL;2025-01-10;20459.242;15370.812;75.1289
NE;NORDESTE;2025-01-11;51691.226;28573.844;55.2779
N;NORTE;2025-01-11;15302.396;8487.299;55.4639
SE;SUDESTE;2025-01-11;204615.328;113916.209;55.6734
S;SUL;2025-01-11;20459.242;15295.151;74.7591
NE;NORDESTE;2025-01-12;51691.226;29004.916;56.1119
N;NORTE;2025-01-12;15302.396;8554.447;55.9027
SE;SUDESTE;2025-01-12;204615.328;114670.892;56.0422
S;SUL;2025-01-12;20459.242;15258.785;74.5814
NE;NORDESTE;2025-01-13;51691.226;29405.842;56.8875
N;NORTE;2025-01-13;15302.396;8630.447;56.3993
SE;SUDESTE;2025-01-13;204615.328;115255.288;56.3278
S;SUL;2025-01-13;20459.242;15171.417;74.1543
NE;NORDESTE;2025-01-14;51691.226;29936.43;57.9139
N;NORTE;2025-01-14;15302.396;8771.671;57.3222
SE;SUDESTE;2025-01-14;204615.328;116037.211;56.7099
S;SUL;2025-01-14;20459.242;15038.331;73.5039
NE;NORDESTE;2025-01-15;51691.226;30571.151;59.1419
N;NORTE;2025-01-15;15302.396;8919.074;58.2855
SE;SUDESTE;2025-01-15;204615.328;116979.144;57.1703
S;SUL;2025-01-15;20459.242;14898.786;72.8218
NE;NORDESTE;2025-01-16;51691.226;31125.228;60.2138
N;NORTE;2025-01-16;15302.396;9043.418;59.0981
SE;SUDESTE;2025-01-16;204615.328;117886.775;57.6139
S;SUL;2025-01-16;20459.242;14752.346;72.106
NE;NORDESTE;2025-01-17;51691.226;31610.725;61.153
N;NORTE;2025-01-17;15302.396;9198.478;60.1114
SE;SUDESTE;2025-01-17;204615.328;118770.794;58.0459
S;SUL;2025-01-17;20459.242;14603.466;71.3783
NE;NORDESTE;2025-01-18;51691.226;32006.585;61.9188
N;NORTE;2025-01-18;15302.396;9389.901;61.3623
SE;SUDESTE;2025-01-18;204615.328;119722.971;58.5112
S;SUL;2025-01-18;20459.242;14475.116;70.751
NE;NORDESTE;2025-01-19;51691.226;32366.201;62.6145
N;NORTE;2025-01-19;15302.396;9558.866;62.4665
SE;SUDESTE;2025-01-19;204615.328;120602.304;58.941
S;SUL;2025-01-19;20459.242;14369.828;70.2364
NE;NORDESTE;2025-01-20;51691.226;32681.738;63.2249
N;NORTE;2025-01-20;15302.396;9752.632;63.7327
SE;SUDESTE;2025-01-20;204615.328;121135.863;59.2018
S;SUL;2025-01-20;20459.242;14160.869;69.215
NE;NORDESTE;2025-01-21;51691.226;32944.063;63.7324
N;NORTE;2025-01-21;15302.396;9965.511;65.1239
SE;SUDESTE;2025-01-21;204615.328;121586.832;59.4222
S;SUL;2025-01-21;20459.242;13959.644;68.2315
NE;NORDESTE;2025-01-22;51691.226;33180.671;64.1901
N;NORTE;2025-01-22;15302.396;10184.863;66.5573
SE;SUDESTE;2025-01-22;204615.328;121938.343;59.5939
S;SUL;2025-01-22;20459.242;13772.87;67.3186
NE;NORDESTE;2025-01-23;51691.226;33464.784;64.7398
N;NORTE;2025-01-23;15302.396;10466.058;68.3949
SE;SUDESTE;2025-01-23;204615.328;122301.491;59.7714
S;SUL;2025-01-23;20459.242;13578.968;66.3708
NE;NORDESTE;2025-01-24;51691.226;33712.316;65.2186
N;NORTE;2025-01-24;15302.396;10747.152;70.2318
SE;SUDESTE;2025-01-24;204615.328;122564.864;59.9001
S;SUL;2025-01-24;20459.242;13415.419;65.5714
NE;NORDESTE;2025-01-25;51691.226;34014.954;65.8041
N;NORTE;2025-01-25;15302.396;10979.797;71.7521
SE;SUDESTE;2025-01-25;204615.328;123072.053;60.148
S;SUL;2025-01-25;20459.242;13277.685;64.8982
NE;NORDESTE;2025-01-26;51691.226;34266.482;66.2907
N;NORTE;2025-01-26;15302.396;11245.812;73.4905
SE;SUDESTE;2025-01-26;204615.328;123740.196;60.4745
S;SUL;2025-01-26;20459.242;13186.033;64.4503
NE;NORDESTE;2025-01-27;51691.226;34542.023;66.8238
N;NORTE;2025-01-27;15302.396;11467.731;74.9408
SE;SUDESTE;2025-01-27;204615.328;124121.545;60.6609
S;SUL;2025-01-27;20459.242;13022.968;63.6532
NE;NORDESTE;2025-01-28;51691.226;34825.295;67.3718
N;NORTE;2025-01-28;15302.396;11651.554;76.142
