id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2024-01-05;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-01-05;0.0;0.0;0.0;0.0
S;SUL;2024-01-05;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-01-05;0.0;0.0;0.0;0.0
N;NORTE;2024-01-12;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-01-12;0.0;0.0;0.0;0.0
S;SUL;2024-01-12;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-01-12;0.0;0.0;0.0;0.0
N;NORTE;2024-01-19;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-01-19;0.0;0.0;0.0;0.0
S;SUL;2024-01-19;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-01-19;0.0;0.0;0.0;0.0
N;NORTE;2024-01-26;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-01-26;0.0;0.0;0.0;0.0
S;SUL;2024-01-26;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-01-26;0.0;0.0;0.0;0.0
N;NORTE;2024-02-02;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-02-02;0.0;0.0;0.0;0.0
S;SUL;2024-02-02;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-02-02;0.0;0.0;0.0;0.0
N;NORTE;2024-02-09;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-02-09;0.0;0.0;0.0;0.0
S;SUL;2024-02-09;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-02-09;0.0;0.0;0.0;0.0
N;NORTE;2024-02-16;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-02-16;0.0;0.0;0.0;0.0
S;SUL;2024-02-16;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-02-16;0.0;0.0;0.0;0.0
N;NORTE;2024-02-23;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-02-23;0.0;0.0;0.0;0.0
S;SUL;2024-02-23;0.0;0.0;0.0;0.0
SE;SUDESTE;2024-02-23;0.0;0.0;0.0;0.0
N;NORTE;2024-03-01;0.06;0.06;0.06;0.06
NE;NORDESTE;2024-03-01;0.06;0.06;0.06;0.06
S;SUL;2024-03-01;0.06;0.06;0.06;0.06
SE;SUDESTE;2024-03-01;0.06;0.06;0.06;0.06
N;NORTE;2024-03-08;0.04;0.04;0.04;0.04
NE;NORDESTE;2024-03-08;0.04;0.04;0.04;0.04
S;SUL;2024-03-08;0.04;0.04;0.04;0.04
SE;SUDESTE;2024-03-08;0.04;0.04;0.04;0.04
N;NORTE;2024-03-15;0.04;0.04;0.04;0.04
NE;NORDESTE;2024-03-15;0.04;0.04;0.04;0.04
S;SUL;2024-03-15;0.04;0.04;0.04;0.04
SE;SUDESTE;2024-03-15;0.04;0.04;0.04;0.04
N;NORTE;2024-03-22;0.03;0.03;0.03;0.03
NE;NORDESTE;2024-03-22;0.03;0.03;0.03;0.03
S;SUL;2024-03-22;0.03;0.03;0.03;0.04
SE;SUDESTE;2024-03-22;0.03;0.03;0.03;0.04
N;NORTE;2024-03-29;0.02;0.02;0.02;0.02
NE;NORDESTE;2024-03-29;0.02;0.02;0.02;0.02
S;SUL;2024-03-29;0.02;0.02;0.02;0.02
SE;SUDESTE;2024-03-29;0.02;0.02;0.02;0.02
N;NORTE;2024-04-05;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-04-05;0.0;0.0;0.0;0.0
S;SUL;2024-04-05;15.65;15.35;15.74;16.11
SE;SUDESTE;2024-04-05;15.65;15.35;15.74;16.11
N;NORTE;2024-04-12;7.77;7.74;7.8;7.8
NE;NORDESTE;2024-04-12;7.77;7.74;7.8;7.8
S;SUL;2024-04-12;7.9;7.74;7.9;8.24
SE;SUDESTE;2024-04-12;7.9;7.74;7.9;8.24
N;NORTE;2024-04-19;7.79;7.76;7.82;7.82
NE;NORDESTE;2024-04-19;7.79;7.76;7.82;7.82
S;SUL;2024-04-19;7.89;7.76;7.88;8.16
SE;SUDESTE;2024-04-19;7.89;7.76;7.88;8.16
N;NORTE;2024-04-26;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-04-26;0.0;0.0;0.0;0.0
S;SUL;2024-04-26;3.63;3.39;3.82;3.89
SE;SUDESTE;2024-04-26;3.63;3.39;3.82;3.89
N;NORTE;2024-05-03;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-05-03;0.0;0.0;0.0;0.0
S;SUL;2024-05-03;0.01;0.01;0.01;0.01
SE;SUDESTE;2024-05-03;0.01;0.01;0.01;0.01
N;NORTE;2024-05-10;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-05-10;0.0;0.0;0.0;0.0
S;SUL;2024-05-10;0.61;0.58;0.62;0.65
SE;SUDESTE;2024-05-10;0.61;0.58;0.62;0.65
N;NORTE;2024-05-17;0.0;0.0;0.0;0.0
NE;NORDESTE;2024-05-17;0.0;0.0;0.0;0.0
S;SUL;2024-05-17;1.13;1.09;1.14;1.19
SE;SUDESTE;2024-05-17;1.13;1.09;1.14;1.19
N;NORTE;2024-05-24;2.3;2.27;2.29;2.38
NE;NORDESTE;2024-05-24;2.3;2.27;2.29;2.38
S;SUL;2024-05-24;2.3;2.27;2.29;2.38
SE;SUDESTE;2024-05-24;2.3;2.27;2.29;2.38
N;NORTE;2024-05-31;2.3;2.28;2.31;2.35
NE;NORDESTE;2024-05-31;2.3;2.28;2.31;2.35
S;SUL;2024-05-31;2.3;2.28;2.31;2.35
SE;SUDESTE;2024-05-31;2.3;2.28;2.31;2.35
N;NORTE;2024-06-07;19.6;19.41;19.57;20.19
NE;NORDESTE;2024-06-07;19.6;19.41;19.57;20.19
S;SUL;2024-06-07;19.6;19.41;19.57;20.19
SE;SUDESTE;2024-06-07;19.6;19.41;19.57;20.19
N;NORTE;2024-06-14;18.11;17.96;18.12;18.5
NE;NORDESTE;2024-06-14;18.11;17.96;18.12;18.5
S;SUL;2024-06-14;18.11;17.96;18.12;18.5
SE;SUDESTE;2024-06-14;18.11;17.96;18.12;18.5
N;NORTE;2024-06-21;18.01;17.78;18.1;18.46
NE;NORDESTE;2024-06-21;18.01;17.78;18.1;18.46
S;SUL;2024-06-21;18.01;17.78;18.1;18.46
SE;SUDESTE;2024-06-21;18.01;17.78;18.1;18.46
N;NORTE;2024-06-28;24.23;23.84;24.35;25.03
NE;NORDESTE;2024-06-28;24.23;23.84;24.35;25.03
S;SUL;2024-06-28;24.23;23.84;24.35;25.03
SE;SUDESTE;2024-06-28;24.23;23.84;24.35;25.03
N;NORTE;2024-07-05;102.58;101.32;102.44;106.19
NE;NORDESTE;2024-07-05;102.58;101.32;102.44;106.19
S;SUL;2024-07-05;102.58;101.32;102.44;106.19
SE;SUDESTE;2024-07-05;102.58;101.32;102.44;106.19
N;NORTE;2024-07-12;81.74;80.35;81.71;85.48
NE;NORDESTE;2024-07-12;81.74;80.35;81.71;85.48
S;SUL;2024-07-12;81.74;80.35;81.71;85.48
SE;SUDESTE;2024-07-12;81.74;80.35;81.71;85.48
N;NORTE;2024-07-19;67.77;66.79;67.84;70.22
NE;NORDESTE;2024-07-19;67.77;66.79;67.84;70.22
S;SUL;2024-07-19;67.77;66.79;67.84;70.22
SE;SUDESTE;2024-07-19;67.77;66.79;67.84;70.22
N;NORTE;2024-07-26;61.45;60.6;61.36;63.9
NE;NORDESTE;2024-07-26;61.45;60.6;61.36;63.9
S;SUL;2024-07-26;61.45;60.6;61.36;63.9
SE;SUDESTE;2024-07-26;61.45;60.6;61.36;63.9
N;NORTE;2024-08-02;67.45;66.7;67.47;69.4
NE;NORDESTE;2024-08-02;67.45;66.7;67.47;69.4
S;SUL;2024-08-02;67.45;66.7;67.47;69.4
SE;SUDESTE;2024-08-02;67.45;66.7;67.47;69.4
N;NORTE;2024-08-09;94.06;93.1;94.07;96.58
NE;NORDESTE;2024-08-09;94.06;93.1;94.07;96.58
S;SUL;2024-08-09;94.06;93.1;94.07;96.58
SE;SUDESTE;2024-08-09;94.06;93.1;94.07;96.58
N;NORTE;2024-08-16;111.09;110.0;111.01;114.15
NE;NORDESTE;2024-08-16;111.09;110.0;111.01;114.15
S;SUL;2024-08-16;111.09;110.0;111.01;114.15
SE;SUDESTE;2024-08-16;111.09;110.0;111.01;114.15
N;NORTE;2024-08-23;98.26;96.86;98.45;101.61
NE;NORDESTE;2024-08-23;98.26;96.86;98.45;101.61
S;SUL;2024-08-23;98.26;96.86;98.45;101.61
SE;SUDESTE;2024-08-23;98.26;96.86;98.45;101.61
N;NORTE;2024-08-30;94.25;93.14;94.23;97.27
NE;NORDESTE;2024-08-30;94.25;93.14;94.23;97.27
