id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
S;SUL;2024-08-30;94.25;93.14;94.23;97.27
SE;SUDESTE;2024-08-30;94.25;93.14;94.23;97.27
N;NORTE;2024-09-06;277.76;274.62;279.13;282.4
NE;NORDESTE;2024-09-06;277.76;274.62;279.13;282.4
S;SUL;2024-09-06;277.76;274.62;279.13;282.4
SE;SUDESTE;2024-09-06;277.76;274.62;279.13;282.4
N;NORTE;2024-09-13;346.13;341.2;348.55;353.09
NE;NORDESTE;2024-09-13;346.13;341.2;348.55;353.09
S;SUL;2024-09-13;346.13;341.2;348.55;353.09
SE;SUDESTE;2024-09-13;346.13;341.2;348.55;353.09
N;NORTE;2024-09-20;341.76;336.77;344.26;348.73
NE;NORDESTE;2024-09-20;341.76;336.77;344.26;348.73
S;SUL;2024-09-20;341.76;336.77;344.26;348.73
SE;SUDESTE;2024-09-20;341.76;336.77;344.26;348.73
N;NORTE;2024-09-27;323.06;316.58;325.19;333.48
NE;NORDESTE;2024-09-27;323.06;316.58;325.19;333.48
S;SUL;2024-09-27;323.06;316.58;325.19;333.48
SE;SUDESTE;2024-09-27;323.06;316.58;325.19;333.48
N;NORTE;2024-10-04;624.81;614.64;628.31;640.93
NE;NORDESTE;2024-10-04;624.81;614.64;628.31;640.93
S;SUL;2024-10-04;624.81;614.64;628.31;640.93
SE;SUDESTE;2024-10-04;624.81;614.64;628.31;640.93
N;NORTE;2024-10-11;552.4;536.45;561.03;573.93
NE;NORDESTE;2024-10-11;552.4;536.45;561.03;573.93
S;SUL;2024-10-11;552.4;536.45;561.03;573.93
SE;SUDESTE;2024-10-11;552.4;536.45;561.03;573.93
N;NORTE;2024-10-18;571.67;553.07;583.71;594.41
NE;NORDESTE;2024-10-18;571.67;553.07;583.71;594.41
S;SUL;2024-10-18;571.67;553.07;583.71;594.41
SE;SUDESTE;2024-10-18;571.67;553.07;583.71;594.41
N;NORTE;2024-10-25;460.62;451.34;463.62;475.58
NE;NORDESTE;2024-10-25;460.62;451.34;463.62;475.58
S;SUL;2024-10-25;460.62;451.34;463.62;475.58
SE;SUDESTE;2024-10-25;460.62;451.34;463.62;475.58
N;NORTE;2024-11-01;350.47;347.41;349.42;357.87
NE;NORDESTE;2024-11-01;350.47;347.41;349.42;357.87
S;SUL;2024-11-01;350.47;347.41;349.42;357.87
SE;SUDESTE;2024-11-01;350.47;347.41;349.42;357.87
N;NORTE;2024-11-08;177.43;174.79;178.69;181.02
NE;NORDESTE;2024-11-08;177.43;174.79;178.69;181.02
S;SUL;2024-11-08;177.43;174.79;178.69;181.02
SE;SUDESTE;2024-11-08;177.43;174.79;178.69;181.02
N;NORTE;2024-11-15;94.82;93.35;95.59;97.76
NE;NORDESTE;2024-11-15;94.82;93.35;95.59;97.76
S;SUL;2024-11-15;94.82;93.35;95.59;97.76
SE;SUDESTE;2024-11-15;94.82;93.35;95.59;97.76
N;NORTE;2024-11-22;64.95;64.12;65.55;66.38
NE;NORDESTE;2024-11-22;64.95;64.12;65.55;66.38
S;SUL;2024-11-22;64.95;64.12;65.55;66.38
SE;SUDESTE;2024-11-22;64.95;64.12;65.55;66.38
N;NORTE;2024-11-29;90.83;89.57;91.58;92.35
NE;NORDESTE;2024-11-29;90.83;89.57;91.58;92.35
S;SUL;2024-11-29;90.83;89.57;91.58;92.35
SE;SUDESTE;2024-11-29;90.83;89.57;91.58;92.35
N;NORTE;2024-12-06;5.91;5.87;5.93;5.98
NE;NORDESTE;2024-12-06;5.91;5.87;5.93;5.98
S;SUL;2024-12-06;5.91;5.87;5.93;5.98
SE;SUDESTE;2024-12-06;5.91;5.87;5.93;5.98
N;NORTE;2024-12-13;5.49;5.46;5.49;5.54
NE;NORDESTE;2024-12-13;5.49;5.46;5.49;5.54
S;SUL;2024-12-13;5.49;5.46;5.49;5.54
SE;SUDESTE;2024-12-13;5.49;5.46;5.49;5.54
N;NORTE;2024-12-20;1.71;1.68;1.73;1.74
NE;NORDESTE;2024-12-20;1.71;1.68;1.73;1.74
S;SUL;2024-12-20;1.71;1.68;1.73;1.74
SE;SUDESTE;2024-12-20;1.71;1.68;1.73;1.74
N;NORTE;2024-12-27;2.69;2.67;2.69;2.73
NE;NORDESTE;2024-12-27;2.69;2.67;2.69;2.73
S;SUL;2024-12-27;2.69;2.67;2.69;2.73
SE;SUDESTE;2024-12-27;2.69;2.67;2.69;2.73
