din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-01 22:00:00;N;NORTE;NE;NORDESTE;-758.265
2025-01-01 22:00:00;N;NORTE;SE;SUDESTE;5022.521
2025-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;3766.816
2025-01-01 22:00:00;SE;SUDESTE;S;SUL;2192.395
2025-01-01 23:00:00;N;NORTE;NE;NORDESTE;-769.698
2025-01-01 23:00:00;N;NORTE;SE;SUDESTE;4798.566
2025-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;4299.026
2025-01-01 23:00:00;SE;SUDESTE;S;SUL;3181.475
2025-01-02 00:00:00;N;NORTE;NE;NORDESTE;-785.049
2025-01-02 00:00:00;N;NORTE;SE;SUDESTE;3548.933
2025-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;4286.272
2025-01-02 00:00:00;SE;SUDESTE;S;SUL;3845.931
2025-01-02 01:00:00;N;NORTE;NE;NORDESTE;-975.44
2025-01-02 01:00:00;N;NORTE;SE;SUDESTE;1812.316
2025-01-02 01:00:00;NE;NORDESTE;SE;SUDESTE;4338.178
2025-01-02 01:00:00;SE;SUDESTE;S;SUL;3199.632
2025-01-02 02:00:00;N;NORTE;NE;NORDESTE;-1611.69
2025-01-02 02:00:00;N;NORTE;SE;SUDESTE;1219.082
2025-01-02 02:00:00;NE;NORDESTE;SE;SUDESTE;4489.053
2025-01-02 02:00:00;SE;SUDESTE;S;SUL;3255.085
2025-01-02 03:00:00;N;NORTE;NE;NORDESTE;-1810.572
2025-01-02 03:00:00;N;NORTE;SE;SUDESTE;1237.223
2025-01-02 03:00:00;NE;NORDESTE;SE;SUDESTE;4547.712
2025-01-02 03:00:00;SE;SUDESTE;S;SUL;3325.152
2025-01-02 04:00:00;N;NORTE;NE;NORDESTE;-1664.739
2025-01-02 04:00:00;N;NORTE;SE;SUDESTE;1223.079
2025-01-02 04:00:00;NE;NORDESTE;SE;SUDESTE;4321.654
2025-01-02 04:00:00;SE;SUDESTE;S;SUL;3005.52
2025-01-02 05:00:00;N;NORTE;NE;NORDESTE;-2088.54599999
2025-01-02 05:00:00;N;NORTE;SE;SUDESTE;1339.736
2025-01-02 05:00:00;NE;NORDESTE;SE;SUDESTE;4668.678
2025-01-02 05:00:00;SE;SUDESTE;S;SUL;3160.85
2025-01-02 06:00:00;N;NORTE;NE;NORDESTE;-3107.131
2025-01-02 06:00:00;N;NORTE;SE;SUDESTE;1750.193
2025-01-02 06:00:00;NE;NORDESTE;SE;SUDESTE;5473.452
2025-01-02 06:00:00;SE;SUDESTE;S;SUL;3313.507
2025-01-02 07:00:00;N;NORTE;NE;NORDESTE;-3833.317
2025-01-02 07:00:00;N;NORTE;SE;SUDESTE;2437.87199999
2025-01-02 07:00:00;NE;NORDESTE;SE;SUDESTE;6446.338
2025-01-02 07:00:00;SE;SUDESTE;S;SUL;3929.969
2025-01-02 08:00:00;N;NORTE;NE;NORDESTE;-3838.695
2025-01-02 08:00:00;N;NORTE;SE;SUDESTE;2402.23
2025-01-02 08:00:00;NE;NORDESTE;SE;SUDESTE;6152.709
2025-01-02 08:00:00;SE;SUDESTE;S;SUL;4211.327
2025-01-02 09:00:00;N;NORTE;NE;NORDESTE;-3207.852
2025-01-02 09:00:00;N;NORTE;SE;SUDESTE;1935.631
2025-01-02 09:00:00;NE;NORDESTE;SE;SUDESTE;4740.776
2025-01-02 09:00:00;SE;SUDESTE;S;SUL;3435.036
2025-01-02 10:00:00;N;NORTE;NE;NORDESTE;-3062.668
2025-01-02 10:00:00;N;NORTE;SE;SUDESTE;1831.001
2025-01-02 10:00:00;NE;NORDESTE;SE;SUDESTE;4267.947
2025-01-02 10:00:00;SE;SUDESTE;S;SUL;3294.183
2025-01-02 11:00:00;N;NORTE;NE;NORDESTE;-2763.158
2025-01-02 11:00:00;N;NORTE;SE;SUDESTE;1608.35
2025-01-02 11:00:00;NE;NORDESTE;SE;SUDESTE;3459.978
2025-01-02 11:00:00;SE;SUDESTE;S;SUL;2887.005
2025-01-02 12:00:00;N;NORTE;NE;NORDESTE;-2628.192
2025-01-02 12:00:00;N;NORTE;SE;SUDESTE;1497.331
2025-01-02 12:00:00;NE;NORDESTE;SE;SUDESTE;2646.86299999
2025-01-02 12:00:00;SE;SUDESTE;S;SUL;2259.397
2025-01-02 13:00:00;N;NORTE;NE;NORDESTE;-2587.464
2025-01-02 13:00:00;N;NORTE;SE;SUDESTE;1629.692
2025-01-02 13:00:00;NE;NORDESTE;SE;SUDESTE;2406.618
2025-01-02 13:00:00;SE;SUDESTE;S;SUL;1791.676
2025-01-02 14:00:00;N;NORTE;NE;NORDESTE;-2306.567
2025-01-02 14:00:00;N;NORTE;SE;SUDESTE;2369.86299999
2025-01-02 14:00:00;NE;NORDESTE;SE;SUDESTE;2849.941
2025-01-02 14:00:00;SE;SUDESTE;S;SUL;2974.565
2025-01-02 15:00:00;N;NORTE;NE;NORDESTE;-2028.775
2025-01-02 15:00:00;N;NORTE;SE;SUDESTE;2919.634
2025-01-02 15:00:00;NE;NORDESTE;SE;SUDESTE;2852.525
2025-01-02 15:00:00;SE;SUDESTE;S;SUL;3175.143
2025-01-02 16:00:00;N;NORTE;NE;NORDESTE;-1281.085
2025-01-02 16:00:00;N;NORTE;SE;SUDESTE;3603.774
2025-01-02 16:00:00;NE;NORDESTE;SE;SUDESTE;2767.224
2025-01-02 16:00:00;SE;SUDESTE;S;SUL;3447.223
2025-01-02 17:00:00;N;NORTE;NE;NORDESTE;-65.932
2025-01-02 17:00:00;N;NORTE;SE;SUDESTE;4618.924
2025-01-02 17:00:00;NE;NORDESTE;SE;SUDESTE;3350.594
2025-01-02 17:00:00;SE;SUDESTE;S;SUL;2686.37
2025-01-02 18:00:00;N;NORTE;NE;NORDESTE;252.28
2025-01-02 18:00:00;N;NORTE;SE;SUDESTE;5516.294
2025-01-02 18:00:00;NE;NORDESTE;SE;SUDESTE;3635.875
2025-01-02 18:00:00;SE;SUDESTE;S;SUL;2491.447
2025-01-02 19:00:00;N;NORTE;NE;NORDESTE;-705.782
2025-01-02 19:00:00;N;NORTE;SE;SUDESTE;8001.293
2025-01-02 19:00:00;NE;NORDESTE;SE;SUDESTE;4729.232
2025-01-02 19:00:00;SE;SUDESTE;S;SUL;3399.882
2025-01-02 20:00:00;N;NORTE;NE;NORDESTE;-954.859
2025-01-02 20:00:00;N;NORTE;SE;SUDESTE;8629.038
2025-01-02 20:00:00;NE;NORDESTE;SE;SUDESTE;5281.761
2025-01-02 20:00:00;SE;SUDESTE;S;SUL;4263.67
2025-01-02 21:00:00;N;NORTE;NE;NORDESTE;-1004.98
2025-01-02 21:00:00;N;NORTE;SE;SUDESTE;8305.422
2025-01-02 21:00:00;NE;NORDESTE;SE;SUDESTE;5050.457
2025-01-02 21:00:00;SE;SUDESTE;S;SUL;4146.868
2025-01-02 22:00:00;N;NORTE;NE;NORDESTE;-843.796
2025-01-02 22:00:00;N;NORTE;SE;SUDESTE;7552.337
2025-01-02 22:00:00;NE;NORDESTE;SE;SUDESTE;4442.997
2025-01-02 22:00:00;SE;SUDESTE;S;SUL;3575.507
2025-01-02 23:00:00;N;NORTE;NE;NORDESTE;-692.027
2025-01-02 23:00:00;N;NORTE;SE;SUDESTE;7296.513
2025-01-02 23:00:00;NE;NORDESTE;SE;SUDESTE;4270.664
2025-01-02 23:00:00;SE;SUDESTE;S;SUL;3697.827
2025-01-03 00:00:00;N;NORTE;NE;NORDESTE;-777.889
2025-01-03 00:00:00;N;NORTE;SE;SUDESTE;7457.179
2025-01-03 00:00:00;NE;NORDESTE;SE;SUDESTE;4608.445
2025-01-03 00:00:00;SE;SUDESTE;S;SUL;3555.974
2025-01-03 01:00:00;N;NORTE;NE;NORDESTE;-1104.604
2025-01-03 01:00:00;N;NORTE;SE;SUDESTE;6843.356
2025-01-03 01:00:00;NE;NORDESTE;SE;SUDESTE;5062.685
2025-01-03 01:00:00;SE;SUDESTE;S;SUL;3818.355
2025-01-03 02:00:00;N;NORTE;NE;NORDESTE;-1484.022
2025-01-03 02:00:00;N;NORTE;SE;SUDESTE;5406.044
2025-01-03 02:00:00;NE;NORDESTE;SE;SUDESTE;5363.38199999
2025-01-03 02:00:00;SE;SUDESTE;S;SUL;3782.085
2025-01-03 03:00:00;N;NORTE;NE;NORDESTE;-1486.527
2025-01-03 03:00:00;N;NORTE;SE;SUDESTE;4597.156
2025-01-03 03:00:00;NE;NORDESTE;SE;SUDESTE;5467.428
2025-01-03 03:00:00;SE;SUDESTE;S;SUL;3714.501
2025-01-03 04:00:00;N;NORTE;NE;NORDESTE;-1365.721
2025-01-03 04:00:00;N;NORTE;SE;SUDESTE;4440.482
2025-01-03 04:00:00;NE;NORDESTE;SE;SUDESTE;5336.896
2025-01-03 04:00:00;SE;SUDESTE;S;SUL;3571.957
2025-01-03 05:00:00;N;NORTE;NE;NORDESTE;-1647.409
2025-01-03 05:00:00;N;NORTE;SE;SUDESTE;3704.896
2025-01-03 05:00:00;NE;NORDESTE;SE;SUDESTE;5305.736
2025-01-03 05:00:00;SE;SUDESTE;S;SUL;2906.756
2025-01-03 06:00:00;N;NORTE;NE;NORDESTE;-2533.261
2025-01-03 06:00:00;N;NORTE;SE;SUDESTE;2728.321
2025-01-03 06:00:00;NE;NORDESTE;SE;SUDESTE;5459.821
2025-01-03 06:00:00;SE;SUDESTE;S;SUL;3020.207
2025-01-03 07:00:00;N;NORTE;NE;NORDESTE;-3921.573
2025-01-03 07:00:00;N;NORTE;SE;SUDESTE;2792.095
2025-01-03 07:00:00;NE;NORDESTE;SE;SUDESTE;5902.182
2025-01-03 07:00:00;SE;SUDESTE;S;SUL;3159.317
2025-01-03 08:00:00;N;NORTE;NE;NORDESTE;-4438.08
