id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
NE;NORDESTE;2024-01-17;4917.15722656;36.47919846;4917.15722656;36.47919846
S;SUL;2024-01-17;7961.60400391;105.48320007;7326.37402344;97.06710052
SE;SUDESTE;2024-01-17;36420.7578125;55.34930038;36123.296875;54.89730072
N;NORTE;2024-01-18;8212.22363281;51.8708992;8160.16894531;51.542099
NE;NORDESTE;2024-01-18;5264.10400391;39.05310059;5264.10400391;39.05310059
S;SUL;2024-01-18;18241.9765625;241.68780518;16136.34082031;213.79020691
SE;SUDESTE;2024-01-18;35855.33984375;54.49010086;35637.76171875;54.15940094
N;NORTE;2024-01-19;8083.36376953;51.05699921;8043.51513672;50.80530167
NE;NORDESTE;2024-01-19;5893.61914063;43.72330093;5893.61914063;43.72330093
S;SUL;2024-01-19;28268.37695313;374.52740479;19214.421875;254.57170105
SE;SUDESTE;2024-01-19;35288.0390625;53.62789917;35046.65625;53.26110077
N;NORTE;2024-01-20;7952.28320313;50.22900009;7900.76611328;49.90359879
NE;NORDESTE;2024-01-20;6666.64892578;49.45819855;6666.64892578;49.45819855
S;SUL;2024-01-20;26448.63085938;350.41760254;19888.6484375;263.50448608
SE;SUDESTE;2024-01-20;35212.53515625;53.51319885;35034.70703125;53.24290085
N;NORTE;2024-01-21;7797.46484375;49.25120163;7718.30517578;48.75120163
NE;NORDESTE;2024-01-21;7447.81298828;55.25350189;7447.81298828;55.25350189
S;SUL;2024-01-21;21002.32226563;278.25961304;17610.453125;233.32069397
SE;SUDESTE;2024-01-21;35909.09375;54.57180023;35569.79296875;54.05609894
N;NORTE;2024-01-22;7619.45410156;48.12680054;7548.01318359;47.67549896
NE;NORDESTE;2024-01-22;8137.02392578;60.36660004;8137.02392578;60.36660004
S;SUL;2024-01-22;16825.41210938;222.91969299;14023.69238281;185.79980469
SE;SUDESTE;2024-01-22;36707.59765625;55.78530121;36417.25;55.34400177
